Pacto,Sub Pacto,Partido,Candidato
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,PAULA MENDOZA BRAVO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,FRANCYS FOIX FUENTEALBA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,JAVIERA PAZ RAMOS GONZALEZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,MARCO UNDURRAGA ROMEO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,JAIME CASTILLO SOTO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,CRISTIAN IGNACIO CANCINO MUÑOZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,VICTOR MANUEL SEPULVEDA LIPPI
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,ROBERTO MOYA CONEJEROS
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,JACQUELINE SAINTARD VERA
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,PARTIDO RADICAL SOCIALDEMOCRATA,ANDREA MAGDALENA OSORIO GUITART
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,NATALIA CATALINA MANZO OLMOS
PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",MAS REGION ,WALDO ALEJANDRO ARRIAGADA PEÑAILILLO
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,GUIDO BENAVIDES ARANEDA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,JOSE LUIS ROSASCO ZAGAL
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,JENNIFER MORRIS PERALTA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,KARIN ARAYA JORQUERA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,MIGUEL ANGEL ARCE GONZALEZ
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,MANUEL PEÑA SALAZAR
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,GERMAN SYLVESTER FRIAS
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,WALTER ÑANCUCHEO ANTIPAN
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,MARIA CAROLINA ORTIZ ZAVALA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,JUAN GUILLERMO VIVADO PORTALES
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,VICTOR GONZALO CARO OLATE
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,JOSE MANUEL DIAZ FLORES
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,DEBORAH BECHAN CAÑAS
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,FRANCISCO VICENTE PAREJA ZURA
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,MARIO BENAVIDES MILLAN
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,INDEPENDIENTE,GUILLERMO DE LA CRUZ DUSSAUBAT
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,JOSE LUIS SEPULVEDA CORNEJO
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,EMILIA RIOS SAAVEDRA
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,CLAUDIO CANEPA BLUMENBERG
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,JUAN CARLOS GUTIERREZ FUENTES
PACTO CAMBIEMOS LA HISTORIA,,INDEPENDIENTE,CRISTIAN MIGUEL DAZA PEREZ
PACTO CAMBIEMOS LA HISTORIA,,INDEPENDIENTE,VALESKA MADRIAGA FLORES
PACTO CAMBIEMOS LA HISTORIA,,INDEPENDIENTE,CAMILO BRODSKY BERTONI
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,JULIO MARTINEZ COLINA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,ALLAN MC KENZIE MARTINEZ
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,NICOLAS HUERTA OLIVARES
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,ANDRES BOLTON JORQUERA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,PEDRO ENRIQUE LEA-PLAZA EDWARDS
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,CRISTOBAL JESUS ZARHI HERNANDEZ
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,ALEJANDRO ANDRES SEGURA BAZZANELLA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,SERGIO CARLOS DEL POZO BASSI
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,MARIO LAVIN ALIAGA
PACTO PUEBLO UNIDO,SUBPACTO IGUALDAD PARA CHILE,PARTIDO IGUALDAD,PATRICIO VALENZUELA MUÑOZ
PACTO PUEBLO UNIDO,,INDEPENDIENTE,LORENA SANDOVAL CAMPOS
PACTO PUEBLO UNIDO,,INDEPENDIENTE,ELEONOR CONCHA VENEGAS
PACTO PUEBLO UNIDO,,INDEPENDIENTE,ANA MARIA QUIROGA VALENZUELA
PACTO PUEBLO UNIDO,,INDEPENDIENTE,FRANCISCO GABLER GUTIERREZ
PACTO PUEBLO UNIDO,,INDEPENDIENTE,PAMELA FAURA RABY
PACTO PUEBLO UNIDO,,INDEPENDIENTE,VERONICA ADRIAN ARANEDA
PACTO PUEBLO UNIDO,,INDEPENDIENTE,VERONICA CHAVEZ GUTIERREZ
PACTO PUEBLO UNIDO,,INDEPENDIENTE,PHELIPPE ROMERO MUZZ
PACTO PUEBLO UNIDO,,INDEPENDIENTE,JOSE LUIS GUZMAN FERNANDEZ
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,MANUEL IPINZA RIVEROS
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,BASTIAN ISAAC MENESES RIOS
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,JUAN CRISTOBAL RODRIGUEZ CESPEDES
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,CAROLA DEL CARMEN VERGARA GUZMAN
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,HUGO RICHARD CASTILLO PAREDES
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,MARISOL ALEJANDRA CORVALAN GUERRERO
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,JUAN JORGE CONTRERAS VERDE-RAMO
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,CLAUDIO BRAVO CARRASCO
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,JOVINESSA MUJICA MARTINEZ
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,JUAN LUIS ORTIZ SOTO
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,PATRICIO ANDREU AVILA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,ALEJANDRO MACHUCA CARVAJAL
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,PATRICIA HIDALGO JELDES
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,MARIA SOLEDAD CORREA MIGUEL
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,INDEPENDIENTE,EDGARDO VERA MIRANDA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,INDEPENDIENTE,LILY VELASQUEZ VELARDE
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,INDEPENDIENTE,MATIAS ALONSO VARELA VERGARA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,VICTOR HUGO RIQUELME VELASQUEZ
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,MAX LEONARDO BERRU CARRION
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,RODRIGO ALONSO LABARRERA ALFARO
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,INDEPENDIENTE,ALEJANDRA PLACENCIA CABELLO
,,,VOTOS NULOS
,,,VOTOS EN BLANCO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,HECTOR SOTO GALLARDO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,XIMENA DEL CARMEN ZULETA DINAMARCA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,PAULO CESAR HERRERA LOPEZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,INDEPENDIENTE,CLAUDIO ANDRES LOBOS MIRANDA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,IVAN GAJARDO CALDERON
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,HERNAN MARTINEZ GOMEZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,GABRIEL MONSALVE LEON
PACTO PODER ECOLOGISTA Y CIUDADANO,,PARTIDO ECOLOGISTA VERDE ,JAIME LOPEZ MUÑOZ
PACTO PODER ECOLOGISTA Y CIUDADANO,,PARTIDO ECOLOGISTA VERDE ,VICTOR MANUEL PARRA MADARIAGA
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,ALICIA GUAJARDO HUERTA
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,PARTIDO RADICAL SOCIALDEMOCRATA,RAFAEL ANDRES ARAVENA MAULEN
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,CINTYA ARANCIBIA GODOY
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,FRANCISCO JAVIER MORA SANHUEZA
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,CLAUDIA ANDREA RAMIREZ MARTINEZ
PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,JOAN MANUEL NUÑEZ AYCON
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,EUGENIO AGUILO ARMSTRONG
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,SUSANA ANDREA PEREIRA ROJAS
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,MARIO QUINTANA MOYA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,CLAUDIO VERA CASTILLO
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,EVELYN ESPINOZA CUEVAS
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,IRIS SALABERRY SOTO
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,GABRIEL VALENZUELA VALENZUELA
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,RICARDO AVILES RIVERA
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,FRANCISCO ROA NUÑEZ
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,EDUARDO LAGOS BERTRAND
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,YELIKA RAIZA PONCE ROMERO
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,ROBERT BRUCE DIAZ DE BLOCK
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,MARTIN FELIPE CACERES MURRIE
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,SOLANGE BEATRIZ MEDINA VERA
PACTO CAMBIEMOS LA HISTORIA,,INDEPENDIENTE,GERALDINE GUGGISBERG FLORES
PACTO CAMBIEMOS LA HISTORIA,,INDEPENDIENTE,MARIA DANIELA ESPINOZA PINEDO
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,JUAN MC KENZIE MIRANDA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,GUILLERMO HUGO CORVALAN SAAVEDRA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,CARLOS JAIME ASCHAR KHALIL
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,MARIA CRISTINA EWERTZ VICUÑA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,JUAN RICARDO GARRIDO LIZANA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,JORGE VALDES YAVAR
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,MARIA JOSE SAAVEDRA VERA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,MARCIA VERONICA MERCADO MALEBRAN
PACTO PUEBLO UNIDO,,PARTIDO IGUALDAD,ERIKA MARIA HORMAZABAL CHEUQUENAO
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,ELIZABETH FAILA CAMPOS
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,KARIN CONCHA CABEZA
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,FRANCISCO ANTONIO LOPEZ ZUÑIGA
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,JAIME AGUILERA BUSTOS
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,AUGUSTO ALEJANDRO LEAL TORRES
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,VERONICA ISABEL NAVEA MONTENEGRO
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,JOSE VILLEGAS CHACANA
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,YAMNA LOBOS ASTORGA
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,ELIANA ROJAS BUGUEÑO
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,OSCAR VALDERRAMA PARADA
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,CARLOS EDUARDO ZAMORA CANCINO
PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,DANIEL ARTURO ALEJANDRO MUÑOZ ZUÑIGA
PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,LUCIA RIVERA HAUENSTEIN
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,CARLOS HERRERA FERRADA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,YURI RIVERA RIVERA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,ALEJANDRA MUÑOZ MARQUEZ
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,GABRIEL RODRIGO ARRIAZA MOENA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,CAMILA LORENA DONATO PIZARRO
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,DAISY PAOLA GUTIERREZ BLANCO
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,INDEPENDIENTE,SALVADOR OJEDA VASQUEZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,DEBORA FANNY ARIAS CARUZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,CRISTIAN CARMONA MACAYA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,MAURICIO GODOY ARAVENA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,PATRICIA GONZALEZ ESPINOZA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,JUAN RAMON VALDES VALDES
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,SILVANA POBLETE ROMERO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,JUAN EMILIO ROBLES DURAN
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,HERNAN SILVA MARTINEZ
PACTO PODER ECOLOGISTA Y CIUDADANO,,PARTIDO ECOLOGISTA VERDE ,JOSE LUIS DIAZ DIAZ
PACTO PODER ECOLOGISTA Y CIUDADANO,,PARTIDO ECOLOGISTA VERDE ,SOLEDAD GAETE GUTIERREZ
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,SILVIA FRANCISCA HERNANDEZ PEREDO
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,ULISES ALEJANDRO HENRIQUEZ GUTIERREZ
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,CARLOS MARCOS MARCHANT PEREZ
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,PATRICIA ANGELICA CORDOVA AQUEVEQUE
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,HECTOR MONSALVE GAJARDO
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,PARTIDO RADICAL SOCIALDEMOCRATA,ELIZABETH DEL CARMEN DEL VALLE LLANOS
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,PARTIDO RADICAL SOCIALDEMOCRATA,MARY SANDRA PROVOSTE SAN MARTIN
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,FRANCISCO HUAIQUIPAN CASTILLO
PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,JOSE ERASMO SAN JUAN ABARCIA
PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,DORA ALEJANDRA AGUIRRE CASTRO
PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,GUILLERMO GARRIDO PARRA
PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,ZADA ALEJANDRA SOLIS MIQUIO
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,JUAN AGUILAR TORRES
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,CLAUDIO ARAYA MORAGA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,EDUARDO CATALAN VALENZUELA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,FERNANDO FARIAS FUENTES
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,MARISOL GUTIERREZ VIVERO
